,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
24,PHYSICS63,0.7317073170731707,0.7567567567567568,0.7398373983739838,0.7837837837837838,123,37,0.7777777777777778,0.9655172413793104,0.8615384615384615
25,CHEM151,0.7432432432432432,0.6176470588235294,0.581081081081081,0.5294117647058824,74,34,0.6,0.8333333333333334,0.6976744186046512
26,ECON136,0.8783783783783784,0.696969696969697,0.8783783783783784,0.696969696969697,148,33,0.696969696969697,1.0,0.8214285714285715
27,PHIL186,0.8307692307692308,0.7777777777777778,0.8307692307692308,0.7777777777777778,65,9,0.7777777777777778,1.0,0.8750000000000001
28,MS&E245B,0.7777777777777778,0.875,0.7777777777777778,0.875,9,8,0.875,1.0,0.9333333333333333
29,MATH106,0.6896551724137931,0.6111111111111112,0.6896551724137931,0.6111111111111112,29,18,0.6111111111111112,1.0,0.7586206896551725
30,MS&E211,0.7168141592920354,0.8571428571428571,0.7168141592920354,0.8571428571428571,113,14,0.8571428571428571,1.0,0.923076923076923
31,CHEM134,0.828125,0.8095238095238095,0.828125,0.8095238095238095,64,21,0.8095238095238095,1.0,0.8947368421052632
32,PHYSICS120,0.7927927927927928,0.675,0.6936936936936937,0.7,111,40,0.7272727272727273,0.8571428571428571,0.7868852459016394
33,ME140,0.717391304347826,0.75,0.717391304347826,0.75,184,44,0.75,1.0,0.8571428571428571
34,EE364B,0.6666666666666666,1.0,0.6666666666666666,1.0,3,6,1.0,1.0,1.0
35,EE102A,0.711340206185567,0.6909090909090909,0.6597938144329897,0.5818181818181818,194,55,0.7586206896551724,0.6875,0.7213114754098361
36,CHEMENG142,0.9411764705882353,0.9333333333333333,0.9411764705882353,0.9333333333333333,34,15,0.9333333333333333,1.0,0.9655172413793104
37,STATS191,0.8402366863905325,0.7857142857142857,0.8402366863905325,0.7857142857142857,169,56,0.7857142857142857,1.0,0.88
38,CS246,0.684931506849315,0.6851851851851852,0.541095890410959,0.7037037037037037,146,54,0.7837837837837838,0.7631578947368421,0.7733333333333334
39,ECON102C,0.85,1.0,0.85,1.0,40,22,1.0,1.0,1.0
40,PHYSICS331,0.9,1.0,0.9,1.0,10,5,1.0,1.0,1.0
41,LINGUIST180,0.8,0.6666666666666666,0.8,0.6666666666666666,15,6,0.6666666666666666,1.0,0.8
42,EE101B,0.797752808988764,0.8181818181818182,0.6179775280898876,0.6818181818181818,89,22,1.0,0.7333333333333333,0.846153846153846
43,MATH205B,0.9473684210526315,0.7142857142857143,0.9473684210526315,0.7142857142857143,19,7,0.7142857142857143,1.0,0.8333333333333333
44,ME70,0.6656346749226006,0.6351351351351351,0.5882352941176471,0.6081081081081081,323,74,0.7045454545454546,0.6888888888888889,0.6966292134831461
45,CHEM184,0.9655172413793104,1.0,0.9655172413793104,1.0,29,12,1.0,1.0,1.0
46,OSPBER40M,0.9137931034482759,1.0,0.9137931034482759,1.0,58,12,1.0,1.0,1.0
47,CS210B,0.9888268156424581,0.9821428571428571,0.9888268156424581,0.9821428571428571,179,56,0.9821428571428571,1.0,0.9909909909909909
48,ME113,0.9032258064516129,0.9655172413793104,0.9032258064516129,0.9655172413793104,155,29,0.9655172413793104,1.0,0.9824561403508771
49,CS144,0.6813186813186813,0.7297297297297297,0.510989010989011,0.4594594594594595,182,37,0.6666666666666666,0.8235294117647058,0.7368421052631577
50,EE264,0.7058823529411765,0.5,0.5294117647058824,0.5,17,2,0.0,0.0,0.0
51,EE134,0.7037037037037037,0.8888888888888888,0.7037037037037037,0.8888888888888888,27,9,0.8888888888888888,1.0,0.9411764705882353
52,ENGR15,0.662125340599455,0.5465116279069767,0.5694822888283378,0.4418604651162791,367,86,0.4918032786885246,0.7894736842105263,0.6060606060606061
53,CHEM183,0.9032258064516129,0.8888888888888888,0.7096774193548387,0.7777777777777778,31,9,0.875,1.0,0.9333333333333333
54,CS166,0.6986301369863014,0.7346938775510204,0.589041095890411,0.7551020408163265,73,49,0.8157894736842105,0.8378378378378378,0.8266666666666665
55,PHYSICS130,0.775,0.6896551724137931,0.7083333333333334,0.6551724137931034,120,29,0.7272727272727273,0.8421052631578947,0.7804878048780488
56,CME364A,0.6666666666666666,0.0,0.3333333333333333,1.0,3,5,0.0,0.0,0.0
57,MATH107,0.7666666666666667,0.5882352941176471,0.7666666666666667,0.5882352941176471,90,17,0.5882352941176471,1.0,0.7407407407407407
58,CEE101A,0.7027027027027027,0.8,0.5405405405405406,0.8,37,10,1.0,0.75,0.8571428571428571
59,MATH115,0.6753246753246753,0.8064516129032258,0.6428571428571429,0.8709677419354839,154,31,0.9565217391304348,0.8148148148148148,0.8800000000000001
60,CME106,0.71875,0.6336633663366337,0.5104166666666666,0.4158415841584158,288,101,0.5531914893617021,0.6190476190476191,0.5842696629213483
61,ME210,0.8057553956834532,0.7441860465116279,0.8057553956834532,0.7441860465116279,139,43,0.7441860465116279,1.0,0.8533333333333333
